id	time_scraped	follower	followed
2430617	2022-10-29T20:44:41.852509Z	4118	258968
2430619	2022-10-29T20:44:43.569051Z	4118	286313
2430623	2022-10-29T20:44:45.293905Z	4118	30415
2430626	2022-10-29T20:44:46.917470Z	4118	64468
2430629	2022-10-29T20:44:49.150583Z	4118	13329
2430632	2022-10-29T20:44:51.771320Z	4118	215021
2430635	2022-10-29T20:44:55.333090Z	4118	44349
2430639	2022-10-29T20:44:57.439181Z	4118	59298
2430756	2022-10-29T20:46:08.550914Z	4118	4794
2430762	2022-10-29T20:46:10.769604Z	4118	58320
2430766	2022-10-29T20:46:13.089214Z	4118	13557
2430769	2022-10-29T20:46:15.269029Z	4118	18157
2430773	2022-10-29T20:46:17.593310Z	4118	397565
2430777	2022-10-29T20:46:19.741383Z	4118	181034
2430781	2022-10-29T20:46:21.475364Z	4118	155191
2430784	2022-10-29T20:46:23.529861Z	4118	8929
2430787	2022-10-29T20:46:25.069200Z	4118	40800
2430790	2022-10-29T20:46:26.973286Z	4118	175710
2430794	2022-10-29T20:46:28.781342Z	4118	61473
2430797	2022-10-29T20:46:30.434333Z	4118	37567
2430801	2022-10-29T20:46:33.257121Z	4118	45236
2430804	2022-10-29T20:46:35.835617Z	4118	363465
2430808	2022-10-29T20:46:38.005993Z	4118	426993
2430811	2022-10-29T20:46:39.545234Z	4118	122861
2430815	2022-10-29T20:46:41.569181Z	4118	91040
2430818	2022-10-29T20:46:43.677179Z	4118	10258
2430822	2022-10-29T20:46:45.256966Z	4118	104042
2430921	2022-10-29T20:47:46.553547Z	4118	15069
2430923	2022-10-29T20:47:48.643461Z	4118	371669
2430927	2022-10-29T20:47:51.010377Z	4118	334285
2430930	2022-10-29T20:47:54.221629Z	4118	29770
2430934	2022-10-29T20:47:56.029468Z	4118	142819
2430937	2022-10-29T20:47:57.769250Z	4118	212409
2430940	2022-10-29T20:48:00.197211Z	4118	12997
2430944	2022-10-29T20:48:02.933318Z	4118	157632
2430947	2022-10-29T20:48:05.476376Z	4118	24921
2430950	2022-10-29T20:48:07.435894Z	4118	28892
2430953	2022-10-29T20:48:09.073711Z	4118	86914
2430957	2022-10-29T20:48:10.846889Z	4118	10993
2430960	2022-10-29T20:48:12.769343Z	4118	17275
2430964	2022-10-29T20:48:14.693542Z	4118	14764
2430967	2022-10-29T20:48:16.317293Z	4118	81849
2430984	2022-10-29T20:48:25.417346Z	4118	221244
2430987	2022-10-29T20:48:27.890007Z	4118	289545
2430993	2022-10-29T20:48:29.942658Z	4118	254393
2430997	2022-10-29T20:48:33.037831Z	4118	387301
2431000	2022-10-29T20:48:35.233316Z	4118	371173
2431004	2022-10-29T20:48:37.489307Z	4118	15238
2431007	2022-10-29T20:48:39.393027Z	4118	43627
2431013	2022-10-29T20:48:41.778497Z	4118	82531
2431031	2022-10-29T20:48:54.371432Z	4118	404765
